i	j	id_i	id_j	identity	coverage_shorter	aligned_res	len_shorter	len_i	len_j
4	9	6KN7_EMD-0728_T	6KN8_EMD-0729_T	1.000000	1.000000	174	174	186	174
4	1103	6KN7_EMD-0728_T	7KO4_EMD-22964_T	1.000000	1.000000	186	186	186	186
4	1108	6KN7_EMD-0728_T	7KO5_EMD-22965_T	1.000000	1.000000	186	186	186	186
4	1113	6KN7_EMD-0728_T	7KOR_EMD-22981_T	1.000000	1.000000	186	186	186	186
5	1102	6KN7_EMD-0728_U	7KO4_EMD-22964_U	1.000000	1.000000	170	170	170	170
5	1107	6KN7_EMD-0728_U	7KO5_EMD-22965_U	1.000000	1.000000	170	170	170	170
5	1112	6KN7_EMD-0728_U	7KOR_EMD-22981_U	1.000000	1.000000	170	170	170	170
5	2277	6KN7_EMD-0728_U	7UTI_EMD-0729_W	1.000000	1.000000	170	170	170	210
5	2281	6KN7_EMD-0728_U	7UTL_EMD-0728_Y	1.000000	1.000000	170	170	170	210
5	3439	6KN7_EMD-0728_U	8UWW_EMD-42681_D	0.964706	1.000000	170	170	170	211
5	3444	6KN7_EMD-0728_U	8UWX_EMD-42682_D	0.964706	1.000000	170	170	170	211
5	3449	6KN7_EMD-0728_U	8UWY_EMD-42683_D	0.964706	1.000000	170	170	170	211
5	3454	6KN7_EMD-0728_U	8UYD_EMD-42800_D	0.964706	1.000000	170	170	170	211
5	3459	6KN7_EMD-0728_U	8UZ5_EMD-42833_D	0.964706	1.000000	170	170	170	211
5	3464	6KN7_EMD-0728_U	8UZ6_EMD-42835_D	0.964706	1.000000	170	170	170	211
5	3469	6KN7_EMD-0728_U	8UZX_EMD-42846_D	0.964706	1.000000	170	170	170	211
5	3474	6KN7_EMD-0728_U	8UZY_EMD-42847_D	0.964706	1.000000	170	170	170	211
5	3479	6KN7_EMD-0728_U	8V01_EMD-42849_D	0.964706	1.000000	170	170	170	211
5	3484	6KN7_EMD-0728_U	8V0I_EMD-42856_D	0.964706	1.000000	170	170	170	211
5	3490	6KN7_EMD-0728_U	8V0K_EMD-42858_D	0.964706	1.000000	170	170	170	211
5	3494	6KN7_EMD-0728_U	8V0Y_EMD-42874_D	0.964706	1.000000	170	170	170	211
5	4463	6KN7_EMD-0728_U	9MO4_EMD-48447_H	0.935294	1.000000	170	170	170	211
5	4468	6KN7_EMD-0728_U	9MO5_EMD-48448_H	0.935294	1.000000	170	170	170	211
5	4473	6KN7_EMD-0728_U	9MO6_EMD-48449_H	0.935294	1.000000	170	170	170	211
5	4480	6KN7_EMD-0728_U	9MO7_EMD-48450_H	0.935294	1.000000	170	170	170	211
5	4483	6KN7_EMD-0728_U	9MO8_EMD-48451_I	0.935294	1.000000	170	170	170	211
5	4488	6KN7_EMD-0728_U	9MO9_EMD-48452_H	0.935294	1.000000	170	170	170	211
5	4493	6KN7_EMD-0728_U	9MOA_EMD-48453_H	0.935294	1.000000	170	170	170	211
5	4498	6KN7_EMD-0728_U	9MOB_EMD-48454_I	0.935294	1.000000	170	170	170	211
5	4503	6KN7_EMD-0728_U	9MOC_EMD-48455_I	0.935294	1.000000	170	170	170	211
5	4508	6KN7_EMD-0728_U	9MOD_EMD-48456_I	0.935294	1.000000	170	170	170	211
5	4514	6KN7_EMD-0728_U	9MOI_EMD-48467_H	0.935294	1.000000	170	170	170	211
5	4518	6KN7_EMD-0728_U	9MOK_EMD-48468_I	0.935294	1.000000	170	170	170	211
5	4523	6KN7_EMD-0728_U	9MOL_EMD-48469_I	0.935294	1.000000	170	170	170	211
5	4528	6KN7_EMD-0728_U	9MOM_EMD-48470_I	0.935294	1.000000	170	170	170	211
5	4533	6KN7_EMD-0728_U	9MON_EMD-48471_I	0.935294	1.000000	170	170	170	211
5	4538	6KN7_EMD-0728_U	9MOO_EMD-48476_H	0.935294	1.000000	170	170	170	211
5	4543	6KN7_EMD-0728_U	9MOP_EMD-48477_H	0.935294	1.000000	170	170	170	211
5	4548	6KN7_EMD-0728_U	9MOU_EMD-48482_I	0.935294	1.000000	170	170	170	211
5	4553	6KN7_EMD-0728_U	9MOW_EMD-48483_I	0.935294	1.000000	170	170	170	211
5	4558	6KN7_EMD-0728_U	9MOX_EMD-48484_H	0.935294	1.000000	170	170	170	211
6	8	6KN7_EMD-0728_V	6KN8_EMD-0729_V	1.000000	1.000000	160	160	160	160
6	1101	6KN7_EMD-0728_V	7KO4_EMD-22964_V	1.000000	1.000000	160	160	160	160
6	1106	6KN7_EMD-0728_V	7KO5_EMD-22965_V	1.000000	1.000000	160	160	160	160
6	1111	6KN7_EMD-0728_V	7KOR_EMD-22981_V	1.000000	1.000000	160	160	160	160
6	2276	6KN7_EMD-0728_V	7UTI_EMD-0729_X	1.000000	1.000000	160	160	160	161
6	2280	6KN7_EMD-0728_V	7UTL_EMD-0728_Z	1.000000	1.000000	160	160	160	161
6	3440	6KN7_EMD-0728_V	8UWW_EMD-42681_C	0.993750	1.000000	160	160	160	161
6	3445	6KN7_EMD-0728_V	8UWX_EMD-42682_C	0.993750	1.000000	160	160	160	161
6	3450	6KN7_EMD-0728_V	8UWY_EMD-42683_C	0.993750	1.000000	160	160	160	161
6	3455	6KN7_EMD-0728_V	8UYD_EMD-42800_C	0.993750	1.000000	160	160	160	161
6	3460	6KN7_EMD-0728_V	8UZ5_EMD-42833_C	0.993750	1.000000	160	160	160	161
6	3465	6KN7_EMD-0728_V	8UZ6_EMD-42835_C	0.993750	1.000000	160	160	160	161
6	3470	6KN7_EMD-0728_V	8UZX_EMD-42846_C	0.993750	1.000000	160	160	160	161
6	3475	6KN7_EMD-0728_V	8UZY_EMD-42847_C	0.993750	1.000000	160	160	160	161
6	3480	6KN7_EMD-0728_V	8V01_EMD-42849_C	0.993750	1.000000	160	160	160	161
6	3485	6KN7_EMD-0728_V	8V0I_EMD-42856_C	0.993750	1.000000	160	160	160	161
