rep_fasta_id	cluster_size	members
6K4M_EMD-9915_A	1	6K4M_EMD-9915_A
6KN7_EMD-0728_T	5	6KN7_EMD-0728_T,6KN8_EMD-0729_T,7KO4_EMD-22964_T,7KO5_EMD-22965_T,7KOR_EMD-22981_T
6KN8_EMD-0729_R	2	6KN7_EMD-0728_R,6KN8_EMD-0729_R
6KN8_EMD-0729_U	1	6KN8_EMD-0729_U
6L62_EMD-0838_A	1	6L62_EMD-0838_A
6L62_EMD-0838_B	1	6L62_EMD-0838_B
6L62_EMD-0838_C	2	6L62_EMD-0838_C,6LM3_EMD-0916_A
6L6Z_EMD-0840_A	1	6L6Z_EMD-0840_A
6LGN_EMD-0881_B	1	6LGN_EMD-0881_B
6LGN_EMD-0881_EA	1	6LGN_EMD-0881_EA
6LK8_EMD-0909_D	3	6LK8_EMD-0909_D,7TDZ_EMD-25817_J,7WB4_EMD-32394_E
6LK8_EMD-0909_H	3	6LK8_EMD-0909_H,7TDZ_EMD-25817_F,7WB4_EMD-32394_L
6LK8_EMD-0909_K	2	6LK8_EMD-0909_K,7TDZ_EMD-25817_Q
6LNT_EMD-0932_A	4	6LNT_EMD-0932_A,7BUA_EMD-30193_A,7YAR_EMD-33718_E,9JS6_EMD-61767_A
6LNT_EMD-0932_G	1	6LNT_EMD-0932_G
6LNT_EMD-0932_H	1	6LNT_EMD-0932_H
6LNT_EMD-0932_I	1	6LNT_EMD-0932_I
6LQI_EMD-0946_A	2	6LQI_EMD-0946_A,7WLU_EMD-32593_A
6LT4_EMD-0967_A	2	6LSY_EMD-0965_A,6LT4_EMD-0967_A
6M1D_EMD-30041_A	1	6M1D_EMD-30041_A
6M5V_EMD-30094_A	1	6M5V_EMD-30094_A
6M5V_EMD-30094_B	1	6M5V_EMD-30094_B
6M5V_EMD-30094_C	1	6M5V_EMD-30094_C
6M6H_EMD-30124_A	2	6M6G_EMD-30123_A,6M6H_EMD-30124_A
6M6H_EMD-30124_G	2	6M6G_EMD-30123_R,6M6H_EMD-30124_G
6M6H_EMD-30124_H	2	6M6G_EMD-30123_S,6M6H_EMD-30124_H
6M6H_EMD-30124_J	2	6M6G_EMD-30123_F,6M6H_EMD-30124_J
6M6H_EMD-30124_P	2	6M6G_EMD-30123_U,6M6H_EMD-30124_P
6M6H_EMD-30124_R	2	6M6G_EMD-30123_H,6M6H_EMD-30124_R
6M6H_EMD-30124_T	2	6M6G_EMD-30123_N,6M6H_EMD-30124_T
6M6Z_EMD-30126_A	1	6M6Z_EMD-30126_A
6PSN_EMD-20459_A	1	6PSN_EMD-20459_A
6PSN_EMD-20459_H	1	6PSN_EMD-20459_H
6PV6_EMD-20486_A	6	6PV6_EMD-20486_A,7JMF_EMD-22392_B,7JMG_EMD-22393_A,7JMH_EMD-22394_B,7JMI_EMD-22395_B,7JMJ_EMD-22396_B
