fasta_id	beta_res	helix_res	beta_strands	helices
6L62_EMD-0838_A	83	4	15	1
6L62_EMD-0838_B	0	0	0	0
6L62_EMD-0838_C	0	0	0	0
6LM3_EMD-0916_A	47	7	13	2
6LNT_EMD-0932_A	0	0	0	0
6LNT_EMD-0932_D	0	0	0	0
6LNT_EMD-0932_G	0	0	0	0
6LNT_EMD-0932_H	0	0	0	0
6LNT_EMD-0932_I	0	0	0	0
6K4M_EMD-9915_A	0	120	0	5
6L6Z_EMD-0840_A	87	176	30	21
6M1D_EMD-30041_A	8	355	4	26
6M1D_EMD-30041_B	38	331	15	35
6M5V_EMD-30094_A	83	210	21	19
6M5V_EMD-30094_B	18	364	6	28
6M5V_EMD-30094_C	0	53	0	3
6M68_EMD-30116_A	7	158	5	14
6LQI_EMD-0946_A	80	799	18	52
6KN8_EMD-0729_A	71	155	21	20
6KN8_EMD-0729_P	0	269	0	1
6KN8_EMD-0729_R	0	26	0	1
6KN8_EMD-0729_T	0	109	0	3
6KN8_EMD-0729_U	0	95	0	3
6KN8_EMD-0729_V	4	89	4	9
6KN7_EMD-0728_A	69	154	21	21
6KN7_EMD-0728_P	0	269	0	1
6KN7_EMD-0728_R	0	26	0	1
6KN7_EMD-0728_T	0	120	0	3
6KN7_EMD-0728_U	0	122	0	3
6KN7_EMD-0728_V	6	84	4	9
6M6Z_EMD-30126_A	0	187	0	4
6LK8_EMD-0909_A	2	1099	2	77
6LK8_EMD-0909_B	19	397	5	28
6LK8_EMD-0909_C	100	0	28	0
6LK8_EMD-0909_D	148	3	32	1
6LK8_EMD-0909_E	186	450	34	41
6LK8_EMD-0909_F	143	0	30	0
6LK8_EMD-0909_G	0	399	0	37
6LK8_EMD-0909_H	143	13	27	3
6LK8_EMD-0909_I	6	517	6	42
6LK8_EMD-0909_J	179	413	38	36
6LK8_EMD-0909_K	0	63	0	1
6PSN_EMD-20459_A	240	86	39	16
6PSN_EMD-20459_H	0	0	0	0
6LT4_EMD-0967_A	72	314	19	29
6ROW_EMD-4975_A	20	316	8	29
6ROW_EMD-4975_E	74	25	24	4
6ROW_EMD-4975_G	18	44	7	6
6RRT_EMD-4990_A	59	23	6	3
6RWY_EMD-10046_BA	0	0	0	0
6RWY_EMD-10046_CA	0	0	0	0
6RWY_EMD-10046_L	0	66	0	2
6RWY_EMD-10046_W	0	0	0	0
6S2F_EMD-10089_A	219	411	45	32
6S2F_EMD-10089_B	84	131	17	15
6S2F_EMD-10089_C	0	0	0	0
6S2F_EMD-10089_D	71	14	9	2
6M6G_EMD-30123_A	0	0	0	0
6M6G_EMD-30123_F	160	376	63	45
6M6G_EMD-30123_H	0	0	0	0
6M6G_EMD-30123_N	0	0	0	0
6M6G_EMD-30123_R	0	0	0	0
6M6G_EMD-30123_S	40	52	19	8
6M6G_EMD-30123_U	0	37	0	5
6M6H_EMD-30124_A	135	374	58	44
6M6H_EMD-30124_G	93	185	27	25
6M6H_EMD-30124_H	4	31	4	3
6M6H_EMD-30124_J	0	34	0	4
6M6H_EMD-30124_P	0	28	0	3
6M6H_EMD-30124_R	49	100	16	10
6M6H_EMD-30124_T	40	52	19	8
6SH5_EMD-10194_A	81	117	14	14
6SKM_EMD-10228_A	6	130	2	11
6SKN_EMD-10229_A	6	129	2	11
6SLU_EMD-10240_A	6	130	2	11
