cluster_rep	cluster_size	chosen_fasta_id	reason	beta_res	helix_res	beta_strands	helices
6K4M_EMD-9915_A	1	6K4M_EMD-9915_A	singleton	0	120	0	5
6L62_EMD-0838_A	1	6L62_EMD-0838_A	singleton	83	4	15	1
6L62_EMD-0838_B	1	6L62_EMD-0838_B	singleton	106	12	20	4
6L6Z_EMD-0840_A	1	6L6Z_EMD-0840_A	singleton	87	176	30	21
6LGN_EMD-0881_A	4	8X9W_EMD-38186_A	residue_sum=634	209	425	53	52
6LGN_EMD-0881_B	1	6LGN_EMD-0881_B	singleton	229	398	53	54
6LGN_EMD-0881_EA	1	6LGN_EMD-0881_EA	singleton	90	71	14	8
6LGN_EMD-0881_FA	3	6LGN_EMD-0881_FA	residue_sum=117	44	73	18	8
6LM3_EMD-0916_A	2	6L62_EMD-0838_C	residue_sum=87	83	4	15	1
6LSY_EMD-0965_A	2	6LSY_EMD-0965_A	residue_sum=391	75	316	21	33
6M1D_EMD-30041_A	1	6M1D_EMD-30041_A	singleton	8	355	4	26
6M1D_EMD-30041_B	4	7A98_EMD-11688_B	residue_sum=469	283	186	76	16
6M5V_EMD-30094_A	1	6M5V_EMD-30094_A	singleton	83	210	21	19
6M5V_EMD-30094_B	1	6M5V_EMD-30094_B	singleton	18	364	6	28
6M5V_EMD-30094_C	1	6M5V_EMD-30094_C	singleton	0	53	0	3
6M68_EMD-30116_A	4	6WBL_EMD-21592_A	residue_sum=219	13	206	4	13
6M6G_EMD-30123_A	2	6M6G_EMD-30123_A	residue_sum=565	170	395	66	51
6M6G_EMD-30123_F	2	6M6G_EMD-30123_F	residue_sum=536	160	376	63	45
6M6G_EMD-30123_H	2	6M6G_EMD-30123_H	residue_sum=149	49	100	16	10
6M6G_EMD-30123_N	2	6M6G_EMD-30123_N	residue_sum=92	40	52	19	8
6M6G_EMD-30123_R	2	6M6G_EMD-30123_R	residue_sum=280	93	187	27	24
6M6G_EMD-30123_S	2	6M6G_EMD-30123_S	residue_sum=92	40	52	19	8
6M6G_EMD-30123_U	2	6M6G_EMD-30123_U	residue_sum=37	0	37	0	5
6M6Z_EMD-30126_A	1	6M6Z_EMD-30126_A	singleton	0	187	0	4
6PSN_EMD-20459_A	1	6PSN_EMD-20459_A	singleton	240	86	39	16
6PSN_EMD-20459_H	1	6PSN_EMD-20459_H	singleton	21	122	6	13
