seq_index	fasta_id	rep_index	rep_fasta_id
0		0	
1	6KN7_EMD-0728_A	1	6KN7_EMD-0728_A
2	6KN7_EMD-0728_P	2	6KN7_EMD-0728_P
3	6KN7_EMD-0728_R	3	6KN7_EMD-0728_R
4	6KN7_EMD-0728_T	4	6KN7_EMD-0728_T
5	6KN7_EMD-0728_U	5	6KN7_EMD-0728_U
6	6KN7_EMD-0728_V	6	6KN7_EMD-0728_V
7		7	
8	6KN8_EMD-0729_V	6	6KN7_EMD-0728_V
9	6KN8_EMD-0729_T	4	6KN7_EMD-0728_T
10	6KN8_EMD-0729_R	3	6KN7_EMD-0728_R
11	6KN8_EMD-0729_P	2	6KN7_EMD-0728_P
12	6KN8_EMD-0729_A	1	6KN7_EMD-0728_A
13	6L62_EMD-0838_C	13	6L62_EMD-0838_C
14		14	
15		15	
16		16	
17	6LGN_EMD-0881_FA	17	6LGN_EMD-0881_FA
18		18	
19		19	
20	6LGN_EMD-0881_A	20	6LGN_EMD-0881_A
21	6LK8_EMD-0909_I	21	6LK8_EMD-0909_I
22	6LK8_EMD-0909_H	22	6LK8_EMD-0909_H
23	6LK8_EMD-0909_G	23	6LK8_EMD-0909_G
24	6LK8_EMD-0909_F	24	6LK8_EMD-0909_F
25	6LK8_EMD-0909_E	25	6LK8_EMD-0909_E
26	6LK8_EMD-0909_D	26	6LK8_EMD-0909_D
27	6LK8_EMD-0909_C	27	6LK8_EMD-0909_C
28	6LK8_EMD-0909_B	28	6LK8_EMD-0909_B
29	6LK8_EMD-0909_K	29	6LK8_EMD-0909_K
30	6LK8_EMD-0909_J	30	6LK8_EMD-0909_J
31	6LK8_EMD-0909_A	31	6LK8_EMD-0909_A
32	6LM3_EMD-0916_A	13	6L62_EMD-0838_C
33		33	
34		34	
35		35	
36	6LNT_EMD-0932_D	36	6LNT_EMD-0932_D
37	6LNT_EMD-0932_A	37	6LNT_EMD-0932_A
38	6LQI_EMD-0946_A	38	6LQI_EMD-0946_A
39	6LSY_EMD-0965_A	39	6LSY_EMD-0965_A
40	6LT4_EMD-0967_A	39	6LSY_EMD-0965_A
41	6M1D_EMD-30041_B	41	6M1D_EMD-30041_B
42		42	
43		43	
44		44	
45		45	
46	6M68_EMD-30116_A	46	6M68_EMD-30116_A
47	6M6G_EMD-30123_U	47	6M6G_EMD-30123_U
48	6M6G_EMD-30123_S	48	6M6G_EMD-30123_S
49	6M6G_EMD-30123_R	49	6M6G_EMD-30123_R
50	6M6G_EMD-30123_N	50	6M6G_EMD-30123_N
51	6M6G_EMD-30123_H	51	6M6G_EMD-30123_H
52	6M6G_EMD-30123_F	52	6M6G_EMD-30123_F
53	6M6G_EMD-30123_A	53	6M6G_EMD-30123_A
54	6M6H_EMD-30124_T	50	6M6G_EMD-30123_N
55	6M6H_EMD-30124_R	51	6M6G_EMD-30123_H
