rep_fasta_id	members
6K4M_EMD-9915_A	6K4M_EMD-9915_A
6KN7_EMD-0728_A	6KN7_EMD-0728_A,6KN8_EMD-0729_A,6UBY_EMD-20721_A,6UC0_EMD-20724_A,6ZNN_EMD-11318_B,6ZNO_EMD-11319_B,7KO4_EMD-22964_A,7KO5_EMD-22965_A,7KOR_EMD-22981_A,7LRG_EMD-23497_A,7QIM_EMD-13990_A,7QIN_EMD-13991_A,7QJ6_EMD-14011_A,7SXA_EMD-25496_B,7TIJ_EMD-25911_A,7TIT_EMD-25914_A,7TJ7_EMD-25918_A,7UTI_EMD-0729_A,7UTL_EMD-0728_A,7ZTD_EMD-14958_A,8OF8_EMD-16850_G,8Q4G_EMD-18147_A,8RTY_EMD-19499_A,8UWW_EMD-42681_A,8UWX_EMD-42682_A,8UWY_EMD-42683_A,8UYD_EMD-42800_A,8UZ5_EMD-42833_A,8UZ6_EMD-42835_A,8UZX_EMD-42846_A,8UZY_EMD-42847_A,8V01_EMD-42849_A,8V0I_EMD-42856_A,8V0K_EMD-42858_A,8V0Y_EMD-42874_A,8VRD_EMD-43481_E,8VRJ_EMD-43482_H,8ZIP_EMD-60125_A,9C62_EMD-45240_I,9D2F_EMD-46494_F,9DGT_EMD-46847_H,9DGU_EMD-46848_H,9FQR_EMD-50664_UO,9HHL_EMD-52171_J,9I8N_EMD-52730_P,9MO4_EMD-48447_A,9MO5_EMD-48448_A,9MO6_EMD-48449_A,9MO7_EMD-48450_A,9MO8_EMD-48451_A,9MO9_EMD-48452_A,9MOA_EMD-48453_A,9MOB_EMD-48454_A,9MOC_EMD-48455_A,9MOD_EMD-48456_A,9MOI_EMD-48467_A,9MOK_EMD-48468_A,9MOL_EMD-48469_A,9MOM_EMD-48470_A,9MON_EMD-48471_A,9MOO_EMD-48476_A,9MOP_EMD-48477_A,9MOU_EMD-48482_A,9MOW_EMD-48483_A,9MOX_EMD-48484_A,9QVM_EMD-53399_M,9QVN_EMD-53400_K
6KN7_EMD-0728_P	6KN7_EMD-0728_P,6KN8_EMD-0729_P,7KO4_EMD-22964_P,7KO5_EMD-22965_P,7KOR_EMD-22981_P,7UTI_EMD-0729_Q,7UTL_EMD-0728_S,8UWW_EMD-42681_F,8UWX_EMD-42682_F,8UWY_EMD-42683_F,8UYD_EMD-42800_F,8UZ5_EMD-42833_F,8UZ6_EMD-42835_F,8UZX_EMD-42846_F,8UZY_EMD-42847_F,8V01_EMD-42849_F,8V0I_EMD-42856_F,8V0K_EMD-42858_F,8V0Y_EMD-42874_F,9MO4_EMD-48447_K,9MO5_EMD-48448_K,9MO6_EMD-48449_K,9MO7_EMD-48450_K,9MO8_EMD-48451_L,9MO9_EMD-48452_K,9MOA_EMD-48453_K,9MOB_EMD-48454_L,9MOC_EMD-48455_L,9MOD_EMD-48456_L,9MOI_EMD-48467_K,9MOK_EMD-48468_L,9MOL_EMD-48469_L,9MOM_EMD-48470_L,9MON_EMD-48471_L,9MOO_EMD-48476_K,9MOP_EMD-48477_K,9MOU_EMD-48482_L,9MOW_EMD-48483_L,9MOX_EMD-48484_K
6KN7_EMD-0728_R	6KN7_EMD-0728_R,6KN8_EMD-0729_R
6KN7_EMD-0728_T	6KN7_EMD-0728_T,6KN8_EMD-0729_T,7KO4_EMD-22964_T,7KO5_EMD-22965_T,7KOR_EMD-22981_T
6KN7_EMD-0728_U	6KN7_EMD-0728_U,7KO4_EMD-22964_U,7KO5_EMD-22965_U,7KOR_EMD-22981_U,7UTI_EMD-0729_W,7UTL_EMD-0728_Y,8UWW_EMD-42681_D,8UWX_EMD-42682_D,8UWY_EMD-42683_D,8UYD_EMD-42800_D,8UZ5_EMD-42833_D,8UZ6_EMD-42835_D,8UZX_EMD-42846_D,8UZY_EMD-42847_D,8V01_EMD-42849_D,8V0I_EMD-42856_D,8V0K_EMD-42858_D,8V0Y_EMD-42874_D,9MO4_EMD-48447_H,9MO5_EMD-48448_H,9MO6_EMD-48449_H,9MO7_EMD-48450_H,9MO8_EMD-48451_I,9MO9_EMD-48452_H,9MOA_EMD-48453_H,9MOB_EMD-48454_I,9MOC_EMD-48455_I,9MOD_EMD-48456_I,9MOI_EMD-48467_H,9MOK_EMD-48468_I,9MOL_EMD-48469_I,9MOM_EMD-48470_I,9MON_EMD-48471_I,9MOO_EMD-48476_H,9MOP_EMD-48477_H,9MOU_EMD-48482_I,9MOW_EMD-48483_I,9MOX_EMD-48484_H
6KN7_EMD-0728_V	6KN7_EMD-0728_V,6KN8_EMD-0729_V,7KO4_EMD-22964_V,7KO5_EMD-22965_V,7KOR_EMD-22981_V,7UTI_EMD-0729_X,7UTL_EMD-0728_Z,8UWW_EMD-42681_C,8UWX_EMD-42682_C,8UWY_EMD-42683_C,8UYD_EMD-42800_C,8UZ5_EMD-42833_C,8UZ6_EMD-42835_C,8UZX_EMD-42846_C,8UZY_EMD-42847_C,8V01_EMD-42849_C,8V0I_EMD-42856_C,8V0K_EMD-42858_C,8V0Y_EMD-42874_C,9MO4_EMD-48447_G,9MO5_EMD-48448_G,9MO6_EMD-48449_G,9MO7_EMD-48450_G,9MO8_EMD-48451_H,9MO9_EMD-48452_G,9MOA_EMD-48453_G,9MOB_EMD-48454_H,9MOC_EMD-48455_H,9MOD_EMD-48456_H,9MOI_EMD-48467_G,9MOK_EMD-48468_H,9MOL_EMD-48469_H,9MOM_EMD-48470_H,9MON_EMD-48471_H,9MOO_EMD-48476_G,9MOP_EMD-48477_G,9MOU_EMD-48482_H,9MOW_EMD-48483_H,9MOX_EMD-48484_G
6KN8_EMD-0729_U	6KN8_EMD-0729_U
6L62_EMD-0838_C	6L62_EMD-0838_C,6LM3_EMD-0916_A
6L62_EMD-0838_B	6L62_EMD-0838_B
