fasta_id	beta_strands
6K4M_EMD-9915_A	0
6KN7_EMD-0728_P	0
6KN7_EMD-0728_R	0
6KN7_EMD-0728_T	0
6KN7_EMD-0728_U	0
6KN8_EMD-0729_U	0
6KN8_EMD-0729_T	0
6KN8_EMD-0729_R	0
6KN8_EMD-0729_P	0
6L62_EMD-0838_C	0
6L62_EMD-0838_B	0
6LGN_EMD-0881_FA	0
6LGN_EMD-0881_EA	0
6LK8_EMD-0909_G	0
6LK8_EMD-0909_K	0
6LNT_EMD-0932_I	0
6LNT_EMD-0932_H	0
6LNT_EMD-0932_G	0
6LNT_EMD-0932_D	0
6LNT_EMD-0932_A	0
6M5V_EMD-30094_C	0
6M6G_EMD-30123_U	0
6M6G_EMD-30123_R	0
6M6G_EMD-30123_N	0
6M6G_EMD-30123_H	0
6M6G_EMD-30123_A	0
6M6H_EMD-30124_P	0
6M6H_EMD-30124_J	0
6M6Z_EMD-30126_A	0
6PSN_EMD-20459_H	0
6RWY_EMD-10046_CA	0
6RWY_EMD-10046_BA	0
6RWY_EMD-10046_W	0
6RWY_EMD-10046_L	0
6S2F_EMD-10089_C	0
6SMX_EMD-10247_C	0
6SMX_EMD-10247_D	0
6T7S_EMD-10371_A	0
6TA4_EMD-10422_C	0
6TBA_EMD-10443_A	0
6TBA_EMD-10443_BH	0
6TBA_EMD-10443_BI	0
6TBA_EMD-10443_KJ	0
6TBA_EMD-10443_AK	0
6TBA_EMD-10443_AI	0
6TBA_EMD-10443_BJ	0
6TBA_EMD-10443_AJ	0
6TBA_EMD-10443_AC	0
6TBA_EMD-10443_MJ	0
6TBA_EMD-10443_LJ	0
6TML_EMD-10525_I	0
6TML_EMD-10525_H	0
6TML_EMD-10525_G	0
6TML_EMD-10525_F	0
6TML_EMD-10525_E	0
6TML_EMD-10525_D	0
6TML_EMD-10525_AF	0
6TML_EMD-10525_BC	0
6TML_EMD-10525_C	0
6TML_EMD-10525_DI	0
6TML_EMD-10525_EF	0
6TML_EMD-10525_IE	0
6TML_EMD-10525_X	0
6TML_EMD-10525_W	0
6TML_EMD-10525_V	0
6TML_EMD-10525_U	0
6TML_EMD-10525_T	0
6TML_EMD-10525_B	0
6TML_EMD-10525_S	0
6TML_EMD-10525_R	0
6TML_EMD-10525_Q	0
6TML_EMD-10525_P	0
6TML_EMD-10525_O	0
6TML_EMD-10525_N	0
6TML_EMD-10525_M	0
6TML_EMD-10525_L	0
6TML_EMD-10525_K	0
6TML_EMD-10525_J	0
6TML_EMD-10525_A	0
6TZ9_EMD-20590_A	0
6TZA_EMD-20591_A	0
6U1S_EMD-20613_A	0
6UC0_EMD-20724_H	0
6UXV_EMD-20933_I	0
6UXV_EMD-20933_A	0
6UZC_EMD-20956_EA	0
6V6C_EMD-21068_A	0
6V86_EMD-21096_B	0
6V9I_EMD-21121_B	0
6V9I_EMD-21121_A	0
6VAB_EMD-21135_B	0
6VAC_EMD-21136_A	0
6VEJ_EMD-21363_D	0
6VFI_EMD-21173_B	0
6VFI_EMD-21173_A	0
6VFJ_EMD-21174_B	0
6VL6_EMD-21231_B	0
6VL6_EMD-21231_A	0
6VM1_EMD-21235_M	0
6VM1_EMD-21235_L	0
6VM1_EMD-21235_K	0
6VM1_EMD-21235_J	0
6VM1_EMD-21235_I	0
6VM1_EMD-21235_H	0
6VM1_EMD-21235_G	0
6VM4_EMD-21238_M	0
6VM4_EMD-21238_L	0
6VM4_EMD-21238_K	0
6VM4_EMD-21238_J	0
6VM4_EMD-21238_I	0
6VM4_EMD-21238_H	0
6VM4_EMD-21238_G	0
6VMB_EMD-21239_H	0
6VMB_EMD-21239_I	0
6VMB_EMD-21239_L	0
6VMB_EMD-21239_M	0
6VMB_EMD-21239_K	0
6VMB_EMD-21239_J	0
6VMB_EMD-21239_G	0
6VMD_EMD-21240_H	0
6VMD_EMD-21240_I	0
6VMD_EMD-21240_G	0
6VMG_EMD-21241_I	0
6VMG_EMD-21241_H	0
6VMG_EMD-21241_G	0
6VOF_EMD-21262_M	0
6VOF_EMD-21262_L	0
6VOF_EMD-21262_K	0
6VOF_EMD-21262_J	0
6VOF_EMD-21262_I	0
6VOF_EMD-21262_H	0
6VOF_EMD-21262_G	0
6VQJ_EMD-21352_B	0
6VQJ_EMD-21352_E	0
6VQJ_EMD-21352_H	0
6VQJ_EMD-21352_A	0
6VQK_EMD-21353_H	0
6VQK_EMD-21353_E	0
6VQK_EMD-21353_B	0
6VQK_EMD-21353_A	0
6W0K_EMD-21497_A	0
6W19_EMD-21504_MA	0
6W19_EMD-21504_GA	0
6W19_EMD-21504_Q	0
6WC7_EMD-21602_B	0
6WCJ_EMD-21611_B	0
6WCJ_EMD-21611_A	0
6WFS_EMD-21653_A	0
6WGF_EMD-21664_F	0
6WGF_EMD-21664_E	0
6WGF_EMD-21664_D	0
6WGF_EMD-21664_C	0
6WGF_EMD-21664_B	0
6WGF_EMD-21664_A	0
6WJD_EMD-21691_GA	0
6WJD_EMD-21691_FA	0
6WJD_EMD-21691_EA	0
6WJD_EMD-21691_DA	0
6WJD_EMD-21691_CA	0
6WJD_EMD-21691_BA	0
6WJD_EMD-21691_AA	0
6WJN_EMD-21696_TA	0
6WJN_EMD-21696_SA	0
6WJN_EMD-21696_RA	0
6WJN_EMD-21696_QA	0
6WJN_EMD-21696_PA	0
6WJN_EMD-21696_OA	0
6WJN_EMD-21696_NA	0
6X0V_EMD-21985_C	0
6X0V_EMD-21985_B	0
6X0V_EMD-21985_A	0
6X36_EMD-22019_C	0
6XF7_EMD-22165_A	0
6XJX_EMD-22216_J	0
6XJX_EMD-22216_I	0
6XJX_EMD-22216_A	0
6XKW_EMD-22227_H	0
6XKW_EMD-22227_G	0
6XKW_EMD-22227_F	0
6XKW_EMD-22227_C	0
6XKW_EMD-22227_B	0
6XKW_EMD-22227_A	0
6XKX_EMD-22228_I	0
6XKX_EMD-22228_H	0
6XKX_EMD-22228_G	0
6XKX_EMD-22228_C	0
6XKX_EMD-22228_B	0
6XKX_EMD-22228_A	0
6XKZ_EMD-22230_I	0
6XKZ_EMD-22230_H	0
6XKZ_EMD-22230_G	0
6XKZ_EMD-22230_C	0
6XKZ_EMD-22230_B	0
6XKZ_EMD-22230_A	0
6XRE_EMD-22294_J	0
6XTY_EMD-10621_I	0
6XTY_EMD-10621_L	0
6XTY_EMD-10621_K	0
6XTY_EMD-10621_J	0
6YBT_EMD-10773_B	0
6YBT_EMD-10773_C	0
6YBT_EMD-10773_A	0
6YTX_EMD-10925_A	0
6YVU_EMD-10951_D	0
6YVV_EMD-10952_D	0
6YW7_EMD-10960_G	0
6YW7_EMD-10960_F	0
6YW7_EMD-10960_E	0
6YW7_EMD-10960_D	0
6YW7_EMD-10960_C	0
6YW7_EMD-10960_B	0
6YW7_EMD-10960_A	0
6Z2K_EMD-11042_A	0
6Z3W_EMD-11058_F	0
6Z3W_EMD-11058_E	0
6Z3W_EMD-11058_D	0
6Z3W_EMD-11058_C	0
6Z3W_EMD-11058_B	0
6Z5J_EMD-11078_A	0
6ZG0_EMD-11190_A	0
6ZGA_EMD-11199_D	0
6ZIU_EMD-11230_I	0
6ZIU_EMD-11230_H	0
6ZIU_EMD-11230_G	0
6ZIU_EMD-11230_F	0
6ZIU_EMD-11230_E	0
6ZIU_EMD-11230_D	0
6ZIU_EMD-11230_B	0
6ZIU_EMD-11230_K	0
6ZIU_EMD-11230_J	0
6ZIU_EMD-11230_A	0
6ZJN_EMD-11237_I	0
6ZJN_EMD-11237_G	0
6ZJN_EMD-11237_F	0
6ZJN_EMD-11237_E	0
6ZJN_EMD-11237_D	0
6ZJN_EMD-11237_C	0
6ZJN_EMD-11237_B	0
6ZJN_EMD-11237_O	0
6ZJN_EMD-11237_A	0
6ZJY_EMD-11238_I	0
6ZJY_EMD-11238_G	0
6ZJY_EMD-11238_F	0
6ZJY_EMD-11238_E	0
6ZJY_EMD-11238_D	0
6ZJY_EMD-11238_C	0
6ZJY_EMD-11238_B	0
6ZJY_EMD-11238_O	0
6ZJY_EMD-11238_K	0
6ZJY_EMD-11238_A	0
6ZNA_EMD-0667_P	0
6ZNA_EMD-0667_O	0
6ZNA_EMD-0667_N	0
6ZNA_EMD-0667_M	0
6ZNA_EMD-0667_L	0
6ZNA_EMD-0667_K	0
6ZNA_EMD-0667_J	0
6ZNA_EMD-0667_B	0
6ZNA_EMD-0667_Q	0
6ZNA_EMD-0667_A	0
6ZNN_EMD-11318_K	0
6ZNN_EMD-11318_E	0
6ZNN_EMD-11318_D	0
6ZNN_EMD-11318_B	0
6ZNN_EMD-11318_A	0
6ZNO_EMD-11319_A	0
6ZNO_EMD-11319_B	0
6ZNO_EMD-11319_E	0
6ZNO_EMD-11319_F	0
6ZNO_EMD-11319_D	0
6ZPG_EMD-11338_A	0
6ZPH_EMD-11339_A	0
6ZTY_EMD-22164_D	0
6ZTY_EMD-22164_A	0
6ZTZ_EMD-22166_A	0
6ZTZ_EMD-22166_G	0
6ZTZ_EMD-22166_I	0
6ZVS_EMD-11469_A	0
6ZVT_EMD-11470_A	0
6ZW4_EMD-11478_A	0
6ZW5_EMD-11481_A	0
6ZW6_EMD-11482_A	0
7A4H_EMD-11633_A	0
7A4I_EMD-11634_A	0
7AOD_EMD-11841_D	0
7AQO_EMD-11871_I	0
7AQO_EMD-11871_D	0
7AQO_EMD-11871_B	0
7ASL_EMD-11897_A	0
7ATA_EMD-11911_B	0
7B4M_EMD-12003_A	0
7B6E_EMD-12053_A	0
7B6R_EMD-12056_A	0
7B6Y_EMD-12058_A	0
7BP0_EMD-30138_A	0
7BUE_EMD-30196_C	0
7BUE_EMD-30196_B	0
7BUE_EMD-30196_A	0
7BUF_EMD-30197_D	0
7BUF_EMD-30197_C	0
7BUF_EMD-30197_B	0
7BUF_EMD-30197_A	0
7CVY_EMD-30476_E	0
7CVY_EMD-30476_D	0
7CVY_EMD-30476_C	0
7CVY_EMD-30476_B	0
7CVY_EMD-30476_A	0
7CVZ_EMD-30477_E	0
7CVZ_EMD-30477_D	0
7CVZ_EMD-30477_C	0
7CVZ_EMD-30477_B	0
7CVZ_EMD-30477_A	0
7CW0_EMD-30478_E	0
7CW0_EMD-30478_D	0
7CW0_EMD-30478_C	0
7CW0_EMD-30478_B	0
7CW0_EMD-30478_A	0
7CW2_EMD-30479_K	0
7CW2_EMD-30479_J	0
7CW2_EMD-30479_G	0
7CW2_EMD-30479_B	0
7CW2_EMD-30479_A	0
7DGQ_EMD-30673_H	0
7DGQ_EMD-30673_G	0
7DGQ_EMD-30673_BC	0
7DGQ_EMD-30673_AC	0
7DGQ_EMD-30673_OB	0
7DGQ_EMD-30673_NB	0
7DGQ_EMD-30673_MB	0
7DGQ_EMD-30673_LB	0
7DGQ_EMD-30673_KB	0
7DGQ_EMD-30673_F	0
7DGQ_EMD-30673_HB	0
7DGQ_EMD-30673_GB	0
7DGQ_EMD-30673_EB	0
7DGQ_EMD-30673_DB	0
7DGQ_EMD-30673_CB	0
7DGQ_EMD-30673_BB	0
7DGQ_EMD-30673_AB	0
7DGQ_EMD-30673_ZA	0
7DGQ_EMD-30673_YA	0
7DGQ_EMD-30673_XA	0
7DGQ_EMD-30673_E	0
7DGQ_EMD-30673_WA	0
7DGQ_EMD-30673_VA	0
7DGQ_EMD-30673_UA	0
7DGQ_EMD-30673_TA	0
7DGQ_EMD-30673_SA	0
7DGQ_EMD-30673_FB	0
7DGQ_EMD-30673_QA	0
7DGQ_EMD-30673_PA	0
7DGQ_EMD-30673_OA	0
7DGQ_EMD-30673_NA	0
7DGQ_EMD-30673_D	0
7DGQ_EMD-30673_MA	0
7DGQ_EMD-30673_LA	0
7DGQ_EMD-30673_KA	0
7DGQ_EMD-30673_JA	0
7DGQ_EMD-30673_HA	0
7DGQ_EMD-30673_GA	0
7DGQ_EMD-30673_FA	0
7DGQ_EMD-30673_EA	0
7DGQ_EMD-30673_DA	0
7DGQ_EMD-30673_C	0
7DGQ_EMD-30673_CA	0
7DGQ_EMD-30673_BA	0
7DGQ_EMD-30673_Z	0
7DGQ_EMD-30673_Y	0
7DGQ_EMD-30673_V	0
7DGQ_EMD-30673_U	0
7DGQ_EMD-30673_T	0
7DGQ_EMD-30673_B	0
7DGQ_EMD-30673_S	0
7DGQ_EMD-30673_R	0
7DGQ_EMD-30673_Q	0
7DGQ_EMD-30673_P	0
7DGQ_EMD-30673_N	0
7DGQ_EMD-30673_M	0
7DGQ_EMD-30673_L	0
7DGQ_EMD-30673_A	0
7DGR_EMD-30674_H	0
7DGR_EMD-30674_G	0
7DGR_EMD-30674_BC	0
7DGR_EMD-30674_AC	0
7DGR_EMD-30674_ZB	0
7DGR_EMD-30674_YB	0
7DGR_EMD-30674_XB	0
7DGR_EMD-30674_WB	0
7DGR_EMD-30674_VB	0
7DGR_EMD-30674_F	0
7DGR_EMD-30674_QB	0
7DGR_EMD-30674_PB	0
7DGR_EMD-30674_DB	0
7DGR_EMD-30674_CB	0
7DGR_EMD-30674_BB	0
7DGR_EMD-30674_AB	0
7DGR_EMD-30674_KB	0
7DGR_EMD-30674_JB	0
7DGR_EMD-30674_E	0
7DGR_EMD-30674_HB	0
7DGR_EMD-30674_GB	0
7DGR_EMD-30674_FB	0
7DGR_EMD-30674_EB	0
7DGR_EMD-30674_RA	0
7DGR_EMD-30674_QA	0
7DGR_EMD-30674_PA	0
7DGR_EMD-30674_OA	0
7DGR_EMD-30674_NA	0
7DGR_EMD-30674_D	0
7DGR_EMD-30674_MA	0
7DGR_EMD-30674_LA	0
7DGR_EMD-30674_KA	0
7DGR_EMD-30674_JA	0
7DGR_EMD-30674_IA	0
7DGR_EMD-30674_HA	0
7DGR_EMD-30674_GA	0
7DGR_EMD-30674_FA	0
7DGR_EMD-30674_EA	0
7DGR_EMD-30674_DA	0
7DGR_EMD-30674_C	0
7DGR_EMD-30674_CA	0
7DGR_EMD-30674_BA	0
7DGR_EMD-30674_Z	0
7DGR_EMD-30674_Y	0
7DGR_EMD-30674_X	0
7DGR_EMD-30674_W	0
7DGR_EMD-30674_V	0
7DGR_EMD-30674_U	0
7DGR_EMD-30674_B	0
7DGR_EMD-30674_S	0
7DGR_EMD-30674_R	0
7DGR_EMD-30674_Q	0
7DGR_EMD-30674_P	0
7DGR_EMD-30674_O	0
7DGR_EMD-30674_N	0
7DGR_EMD-30674_M	0
7DGR_EMD-30674_L	0
7DGR_EMD-30674_K	0
7DGS_EMD-30675_I	0
7DGS_EMD-30675_H	0
7DGS_EMD-30675_G	0
7DGS_EMD-30675_BC	0
7DGS_EMD-30675_AC	0
7DGS_EMD-30675_ZB	0
7DGS_EMD-30675_YB	0
7DGS_EMD-30675_XB	0
7DGS_EMD-30675_WB	0
7DGS_EMD-30675_VB	0
7DGS_EMD-30675_F	0
7DGS_EMD-30675_RB	0
7DGS_EMD-30675_QB	0
7DGS_EMD-30675_PB	0
7DGS_EMD-30675_DB	0
7DGS_EMD-30675_CB	0
7DGS_EMD-30675_BB	0
7DGS_EMD-30675_AB	0
7DGS_EMD-30675_KB	0
7DGS_EMD-30675_JB	0
7DGS_EMD-30675_E	0
7DGS_EMD-30675_GB	0
7DGS_EMD-30675_FB	0
7DGS_EMD-30675_EB	0
7DGS_EMD-30675_RA	0
7DGS_EMD-30675_QA	0
7DGS_EMD-30675_PA	0
7DGS_EMD-30675_OA	0
7DGS_EMD-30675_NA	0
7DGS_EMD-30675_D	0
7DGS_EMD-30675_MA	0
7DGS_EMD-30675_LA	0
7DGS_EMD-30675_KA	0
7DGS_EMD-30675_JA	0
7DGS_EMD-30675_IA	0
7DGS_EMD-30675_HA	0
7DGS_EMD-30675_GA	0
7DGS_EMD-30675_FA	0
7DGS_EMD-30675_EA	0
7DGS_EMD-30675_DA	0
7DGS_EMD-30675_C	0
7DGS_EMD-30675_CA	0
7DGS_EMD-30675_BA	0
7DGS_EMD-30675_Z	0
7DGS_EMD-30675_Y	0
7DGS_EMD-30675_X	0
7DGS_EMD-30675_W	0
7DGS_EMD-30675_V	0
7DGS_EMD-30675_B	0
7DGS_EMD-30675_S	0
7DGS_EMD-30675_R	0
7DGS_EMD-30675_Q	0
7DGS_EMD-30675_P	0
7DGS_EMD-30675_O	0
7DGS_EMD-30675_N	0
7DGS_EMD-30675_M	0
7DGS_EMD-30675_L	0
7DGS_EMD-30675_K	0
7E8G_EMD-31018_A	0
7EYF_EMD-31383_A	0
7F46_EMD-31444_D	0
7F46_EMD-31444_A	0
7F9O_EMD-31498_I	0
7F9O_EMD-31498_H	0
7F9O_EMD-31498_G	0
7F9O_EMD-31498_CB	0
7F9O_EMD-31498_BB	0
7F9O_EMD-31498_NA	0
7F9O_EMD-31498_MA	0
7F9O_EMD-31498_LA	0
7F9O_EMD-31498_KA	0
7F9O_EMD-31498_JA	0
7F9O_EMD-31498_IA	0
7F9O_EMD-31498_HA	0
7F9O_EMD-31498_GA	0
7F9O_EMD-31498_FA	0
7F9O_EMD-31498_EA	0
7F9O_EMD-31498_CA	0
7F9O_EMD-31498_BA	0
7F9O_EMD-31498_AA	0
7F9O_EMD-31498_Z	0
7F9O_EMD-31498_W	0
7F9O_EMD-31498_R	0
7F9O_EMD-31498_N	0
7FDB_EMD-31539_P	0
7FDB_EMD-31539_H	0
7FDB_EMD-31539_EA	0
7FDB_EMD-31539_DA	0
7FDB_EMD-31539_CA	0
7FDB_EMD-31539_U	0
7FDB_EMD-31539_T	0
7FDB_EMD-31539_S	0
7FDB_EMD-31539_R	0
7FDC_EMD-31540_P	0
7FDC_EMD-31540_H	0
7FDC_EMD-31540_EA	0
7FDC_EMD-31540_DA	0
7FDC_EMD-31540_CA	0
7FDC_EMD-31540_U	0
7FDC_EMD-31540_T	0
7FDC_EMD-31540_S	0
7FDC_EMD-31540_R	0
7FJ3_EMD-31612_B	0
7FJ3_EMD-31612_I	0
7JGG_EMD-22326_A	0
7JGJ_EMD-22328_C	0
7JGJ_EMD-22328_B	0
7JTI_EMD-22474_F	0
7JTI_EMD-22474_E	0
7JTS_EMD-22480_M	0
7JTS_EMD-22480_L	0
7JTS_EMD-22480_K	0
7JTS_EMD-22480_C	0
7JTS_EMD-22480_A	0
7K1W_EMD-22631_A	0
7K2V_EMD-22647_B	0
7KO4_EMD-22964_U	0
7KO4_EMD-22964_T	0
7KO4_EMD-22964_P	0
7KO5_EMD-22965_U	0
7KO5_EMD-22965_T	0
7KO5_EMD-22965_P	0
7KOR_EMD-22981_U	0
